Comedian,Char Length,Word Length,Joke
Michelle Wolf,197,37,"Why are your jackets so big? What are you hiding under there? Is that where all of your e-mails are?But that's the thing, we are supposed to care so much about our bodies as women, you know?					"
Michelle Wolf,193,34,There are even campaigns that we should love our bodies and be confident in our bodies. Or...we could just stop caring about it. Because you know who doesn't care about their bodies? Men. 					
Michelle Wolf,169,32," You know what men are? Successful. Men are presidents, men are CEOs.You've never heard a CEO go, ""I want to get profits up, keep costs down, ""and love me for me."" 					"
Michelle Wolf,463,90,"""3pm, we're going to have a meeting about how I can accept the fact ""that I have my mother's thighs."" Do you know who should care about their bodies? Men! You have weird bodies, men. You're gross.Your balls are gross.  I've seen anyone go like, ""Oh, I can't wait to get his pants off ""and see that weird bag of stuff between his legs."" What is it? It's like when you go to a haunted house and you stick your hand in a jar - you're like, ""Please be grapes"".					"
Michelle Wolf,275,45," Balls seem like a real God whoopsie.Like when you're putting together furnitureand you've got a couple of leftover screws, and you're like, ""Well, those were supposed to go somewhere.""I guess I'll hang them from a satchel."" Even the name sounds like a mistake. 					"
Michelle Wolf,118,21,"""What are you going to call them?"" ""Scrotum."" ""OK.""This is how you know that God didn't care about balls at all.					"
Michelle Wolf,647,131," Everything else important, he covered in bone.  Balls, he was like, ""Let 'em fly!"" You are so lucky we get our faces near them.			If a woman puts your balls in her mouth, you should pay her a lot of money. And not in like a prostitute way, in like a ""I don't know how else to say thank you. ""This is a very nice thing you just did to me. ""And you didn't get any pleasure out of it."" There's not a single woman that's like,""That's what does it for me."" ""You are more of a saint than Mother Teresa for that.""	There's no way she ever did it. 					 I get one wrinkle, my career is over. I have to put paint on my face just to leave my home.					"
Michelle Wolf,247,41," And you guys get to walk around with those wrinkly, dangling bags of crap.You should have to put make-up on them! Or at the very least, googly eyes. I don't know if it'd be better or worse, but it'd be fun.                                        "
Michelle Wolf,203,39," He's happy, he's sad, he lost his boner. I don't know how we ever let you guys get away with calling our boobs saggy. Your balls are saggy. You should wear a bra. And you make it fancy. [CHEERING]					"
Michelle Wolf,512,87,"I don't know, I think women, we have weird priorities. We care so much about our wedding.We'll even say things - ""I want to be a princess on my wedding day. ""I'm going to be a princess.""I'm a grown adult woman who would like to be a princess."" I'm like, ""All right, you want to be a princess? ""Then I'm going to make you marry a man you've never met ""in order to secure a French alliance.                              ""And guess what, princess? He's not going to love you.                                        "
Michelle Wolf,279,53," ""Your parents wished you were a boy. ""Happy wedding day, princess."" And we'll say things like, ""It's my day, it's my special day.""I don't think you can call it your day if your dad is paying for it.	I think it's his day, and I think it's a really weird day for him."
Michelle Wolf,186,33,"We should date shorter guys more often, they're really nice.The only problem is a lot of times when you go for walks, you have to be like, ""All right, speed up, little buddy.					"
Michelle Wolf,373,71,"The real reason I want Hillary Clinton to be president is because I want Bill Clinton to be the first gentleman.Mostly because the spouse of the president is the one who sometimes gives tours of the White House, and I would love to see Bill be like, ""These are our drapes. ""As you can see, they are navy. ""But if you shine a black light on them, boy, do they glow!""					"
Michelle Wolf,139,26," Every time he bit his lip from behind a podium, I thought he was trying to get rid of a boner. Like... ""Hillary, Hillary, Hillary."" 					"
Jimmy Fallon,292,58," -Let's get to some news here. It just came out that President Trump is going to meet with Kanye West at the White Houseon Thursday. And this is -- this is interesting. They both think they're going to a Twitter intervention for the other person.[ Laughter and applause ] "
Jimmy Fallon,190,36," ""You know why we're here, right?"" That's right, Trump is meeting with Kanye at the White House.Trump will be like, ""I wish you had been here last week. I had a Supreme Court seat to fill."" "
Jimmy Fallon,474,84," But Kanye isn't the only celebrity Trump's been thinking about lately.  He was asked about Taylor Swift endorsing Democrats in the midterms. Check out what he said.  -Taylor Swift's jumping into politics. What do you have to say to that? -And what did she say?  -She said wants people to vote for Democrats.-Let's say that I like Taylor's music about 25% less now. [ Audience ""oh""s ] -Then Trump said, ""I knew she was trouble when she walked in."" [ Laughter and applause ] "
Jimmy Fallon,357,68," -- I just I think it's for the best."" Is it? Trump's been busy. Last night he hosted a ceremony for new Supreme Court Justice Brett Kavanaugh, and the other justices were there to watch. Look at this photo there. Oh, God. [ Laughter ] Oh, man. That looks like Melania's side of the aisle at her wedding, you know what I'm saying? [ Laughter and applause ] "
Jimmy Fallon,234,40,"Actually, Trump took a moment to thank the other justices,but for some reason he kept saying the words ""thank you"" really softly.Watch this. This is odd. -Justice Thomas. Thank you. [ Laughter ] Justice Alito. Thank you. [ Laughter ] "
Jimmy Fallon,372,68," You see this? At a rally this past weekend, President Trump talked about answering calls on Air Force One. But he had a little trouble with the word ""phone."" Check this out. -I had that phone working. I had that ""fern"" working on that plane. -Fern. [ Laughter ] -Fern. Yeah. While -- he had that fern working. We noticed Trump has trouble pronouncing things all the time."
Jimmy Fallon,215,46,"So with that in mind, it's time to play ""Talk Like Trump.""Here we go. ♪♪ -♪ Talk like Trump ♪ -♪ Pretty simple words ♪ -♪ Talk like Trump ♪ -♪ Huge ♪ ♪♪ [ Cheers and applause ] -All right, so here's how this works. "
Jimmy Fallon,279,58,"I'm going to see if anyone can guess how the President is going to mispronounce a simple word. And if you get it right, you get a prize. And if you get it wrong, you still get a prize. All right, raise your hand if you want to play ""Talk Like Trump."" Who wants to play? Come on. "
Jimmy Fallon,211,41," Anyway, I thought I'd finally get back out there because since I left, things are -- they're messier than a sales rack at Marshalls. [ Laughter ] Oh, look, I got a big pair of oversized panties. [ Laughter ] "
Jimmy Fallon,193,41,"I scored a hockey mask with Life Savers stuck to it. [ Laughter ] I got a wooden owl that looks like Uncle Dick, or whatever it is. You know. A lot of stuff at Marshalls. [ Laughter ] So look. "
Jimmy Fallon,256,44,"Seriously though, I've got some quick and easy tips to help you in the upcoming election, okay?  First, just make time to vote. It only takes five minutes to register on www.vote.gov.And here's another tip. Vote for smart people. [ Laughter and applause ] "
Jimmy Fallon,314,58,"I know that smart can sometimes be boring, but believe me,boring gets the job done. Crazy is only good when you're like a Real Housewife who hasn't gotten any screen time and it's, like, two episodes left to the finale, you know what I mean?You got to flip a table sometimes, Lisa Rinna. [ Laughter and applause ] "
Jimmy Fallon,272,57," And finally -- and this is a big one. If a big, burly Russian that you don't know -- like a big, big Russian dude -- [ Light laughter ] He tell you to vote for somebody on Facebook, don't do it. [ Laughter ] You just tell him, you just say, ""Oh, hell nyet."" And log off. "
